vertex_1,vertex_2,is_treated
0,76,1
6,76,1
22,76,1
95,76,1
0,81,1
17,81,1
36,81,1
89,81,1
1,16,0
11,16,0
13,16,0
19,16,0
1,19,0
5,19,0
14,19,0
16,19,0
47,19,0
2,32,0
5,32,0
10,32,0
11,32,0
41,32,0
2,40,0
30,40,0
33,40,0
41,40,0
3,77,1
6,77,1
70,77,1
3,96,1
15,96,1
46,96,1
80,96,1
4,93,1
52,93,1
97,93,1
5,6,0
25,6,0
33,6,0
76,6,0
77,6,0
5,26,0
28,26,0
5,37,0
28,37,0
39,37,0
6,5,0
19,5,0
26,5,0
32,5,0
37,5,0
6,25,0
47,25,0
6,33,0
11,33,0
40,33,0
7,13,0
16,13,0
21,13,0
24,13,0
8,85,1
69,85,1
9,79,1
34,79,1
65,79,1
10,91,1
67,91,1
11,44,0
35,44,0
49,44,0
12,55,1
51,55,1
13,7,0
13,21,0
47,21,0
13,24,0
23,24,0
51,24,0
15,30,0
17,30,0
40,30,0
15,87,1
73,87,1
16,1,0
19,1,0
16,11,0
32,11,0
33,11,0
44,11,0
17,86,1
54,86,1
18,58,1
98,58,1
19,14,0
19,47,0
21,47,0
25,47,0
20,53,1
56,53,1
72,53,1
20,71,1
29,71,1
49,71,1
78,71,1
22,90,1
49,90,1
72,90,1
23,28,0
26,28,0
37,28,0
23,42,0
23,45,0
46,45,0
49,45,0
24,23,0
28,23,0
42,23,0
45,23,0
24,51,1
55,51,1
82,51,1
27,54,1
86,54,1
29,95,1
36,95,1
46,95,1
74,95,1
76,95,1
30,15,0
87,15,0
96,15,0
30,17,0
81,17,0
86,17,0
31,60,1
46,60,1
50,60,1
32,2,0
40,2,0
32,10,0
91,10,0
32,41,0
40,41,0
34,64,1
38,64,1
80,64,1
34,84,1
39,84,1
74,84,1
35,43,0
37,39,0
48,39,0
56,39,0
84,39,0
39,48,0
39,56,1
53,56,1
43,35,0
44,35,0
44,49,0
45,49,0
62,49,0
71,49,0
90,49,0
45,46,0
50,46,0
60,46,0
95,46,0
96,46,0
46,50,1
60,50,1
49,62,1
83,62,1
51,82,1
59,82,1
61,82,1
63,82,1
66,82,1
52,75,1
53,20,0
71,20,0
53,72,1
90,72,1
54,27,0
55,12,0
57,80,1
61,80,1
64,80,1
96,80,1
57,83,1
62,83,1
92,83,1
58,18,0
58,98,1
94,98,1
59,66,1
82,66,1
94,66,1
59,67,1
88,67,1
91,67,1
60,31,0
61,89,1
81,89,1
92,89,1
63,65,1
79,65,1
64,34,0
79,34,0
84,34,0
64,38,0
65,63,1
82,63,1
66,59,1
67,59,1
82,59,1
66,94,1
68,94,1
98,94,1
67,88,1
97,88,1
69,73,1
87,73,1
71,29,0
95,29,0
71,78,1
99,78,1
73,69,1
85,69,1
75,52,1
93,52,1
76,0,0
81,0,0
76,22,0
90,22,0
77,3,0
96,3,0
77,70,1
78,99,1
79,9,0
80,57,1
83,57,1
80,61,1
82,61,1
89,61,1
81,36,0
95,36,0
83,92,1
89,92,1
84,74,1
95,74,1
85,8,0
88,97,1
93,97,1
93,4,0
94,68,1
