vertex_1,vertex_2,is_treated
0,16,0
39,16,0
0,41,0
3,41,0
5,41,0
46,41,0
0,65,1
26,65,1
57,65,1
93,65,1
1,31,0
19,31,0
32,31,0
1,46,0
7,46,0
27,46,0
40,46,0
41,46,0
49,46,0
2,62,1
3,62,1
9,62,1
17,62,1
22,62,1
66,62,1
2,71,1
8,71,1
26,71,1
74,71,1
3,35,0
5,35,0
49,35,0
4,36,0
8,36,0
23,36,0
4,42,0
10,42,0
6,89,1
29,89,1
99,89,1
7,33,0
49,33,0
7,95,1
8,95,1
74,95,1
8,23,0
36,23,0
85,23,0
8,88,1
24,88,1
38,88,1
70,88,1
76,88,1
10,28,0
21,28,0
11,21,0
14,21,0
28,21,0
11,34,0
18,34,0
38,34,0
48,34,0
11,82,1
55,82,1
12,20,0
15,20,0
47,20,0
12,45,0
13,57,1
65,57,1
13,72,1
29,72,1
66,72,1
14,30,0
18,30,0
15,27,0
46,27,0
16,0,0
41,0,0
65,0,0
16,39,0
17,86,1
25,86,1
48,86,1
94,86,1
19,44,0
32,44,0
47,44,0
20,12,0
45,12,0
20,15,0
27,15,0
20,47,0
32,47,0
44,47,0
21,11,0
34,11,0
82,11,0
21,14,0
30,14,0
23,8,0
36,8,0
71,8,0
88,8,0
95,8,0
23,85,1
91,85,1
24,52,1
64,52,1
25,73,1
38,73,1
76,73,1
26,63,1
37,63,1
77,63,1
26,68,1
77,68,1
28,10,0
42,10,0
29,55,1
82,55,1
29,96,1
38,96,1
75,96,1
30,18,0
34,18,0
31,1,0
46,1,0
31,19,0
44,19,0
31,32,0
44,32,0
47,32,0
33,7,0
46,7,0
95,7,0
33,49,0
35,49,0
43,49,0
46,49,0
34,38,0
73,38,0
88,38,0
96,38,0
34,48,0
61,48,0
86,48,0
35,3,0
41,3,0
62,3,0
35,5,0
41,5,0
36,4,0
42,4,0
40,51,1
56,51,1
46,40,0
51,40,0
48,61,1
60,61,1
49,43,0
50,67,1
64,67,1
50,77,1
63,77,1
68,77,1
78,77,1
50,97,1
51,56,1
59,56,1
81,56,1
52,24,0
88,24,0
52,64,1
54,64,1
67,64,1
87,64,1
53,91,1
85,91,1
93,91,1
55,29,0
72,29,0
89,29,0
96,29,0
56,59,1
70,59,1
56,81,1
57,13,0
72,13,0
58,92,1
78,92,1
84,92,1
59,70,1
88,70,1
60,78,1
77,78,1
92,78,1
61,60,1
78,60,1
62,2,0
71,2,0
62,9,0
62,17,0
86,17,0
62,22,0
62,66,1
72,66,1
63,26,0
65,26,0
68,26,0
71,26,0
63,37,0
64,54,1
64,87,1
75,87,1
83,87,1
65,93,1
69,93,1
90,93,1
91,93,1
67,50,1
77,50,1
97,50,1
71,74,1
95,74,1
73,25,0
86,25,0
73,76,1
79,76,1
88,76,1
99,76,1
76,79,1
98,79,1
76,99,1
80,99,1
89,99,1
79,98,1
80,84,1
83,84,1
92,84,1
84,80,1
99,80,1
84,83,1
87,83,1
86,94,1
87,75,1
96,75,1
89,6,0
91,53,1
92,58,1
93,69,1
93,90,1
