vertex_1,vertex_2,is_treated
0,59,1
79,59,1
0,65,1
16,65,1
73,65,1
0,92,1
87,92,1
1,14,0
5,14,0
56,14,0
78,14,0
1,34,0
2,95,1
23,95,1
43,95,1
91,95,1
2,98,1
22,98,1
27,98,1
50,98,1
94,98,1
3,31,0
17,31,0
42,31,0
3,37,0
4,40,0
15,40,0
26,40,0
32,40,0
5,18,0
12,18,0
51,18,0
6,15,0
40,15,0
6,17,0
31,17,0
6,33,0
41,33,0
6,48,0
12,48,0
13,48,0
26,48,0
29,48,0
7,70,1
80,70,1
8,41,0
29,41,0
33,41,0
38,41,0
8,43,0
58,43,0
78,43,0
95,43,0
9,39,0
30,39,0
32,39,0
45,39,0
9,44,0
11,44,0
47,44,0
49,44,0
10,80,1
16,80,1
49,80,1
70,80,1
11,19,0
38,19,0
99,19,0
12,35,0
28,35,0
12,38,0
19,38,0
41,38,0
12,85,1
68,85,1
13,36,0
30,36,0
46,36,0
13,46,0
24,46,0
36,46,0
13,47,0
32,47,0
44,47,0
14,1,0
34,1,0
14,5,0
18,5,0
14,56,1
20,56,1
22,56,1
42,56,1
74,56,1
14,78,1
30,78,1
43,78,1
60,78,1
15,6,0
17,6,0
33,6,0
48,6,0
18,12,0
35,12,0
38,12,0
48,12,0
85,12,0
18,51,1
54,51,1
55,51,1
19,11,0
44,11,0
19,99,1
23,99,1
26,99,1
64,99,1
20,60,1
75,60,1
78,60,1
21,83,1
54,83,1
81,83,1
23,58,1
43,58,1
55,58,1
24,45,0
39,45,0
25,96,1
87,96,1
29,72,1
67,72,1
31,3,0
37,3,0
31,42,0
56,42,0
32,62,1
66,62,1
82,62,1
35,28,0
36,13,0
46,13,0
47,13,0
48,13,0
36,30,0
39,30,0
78,30,0
39,9,0
44,9,0
39,32,0
40,32,0
47,32,0
62,32,0
40,4,0
40,26,0
48,26,0
99,26,0
41,8,0
43,8,0
41,29,0
48,29,0
72,29,0
44,49,0
61,49,0
80,49,0
45,24,0
46,24,0
49,61,1
50,61,1
50,93,1
81,93,1
51,54,1
83,54,1
51,55,1
52,55,1
58,55,1
87,55,1
89,55,1
53,57,1
63,57,1
81,57,1
97,57,1
55,52,1
55,87,1
92,87,1
96,87,1
55,89,1
97,89,1
56,20,0
60,20,0
56,22,0
98,22,0
56,74,1
73,74,1
88,74,1
57,53,1
57,63,1
90,63,1
57,81,1
82,81,1
83,81,1
93,81,1
57,97,1
79,97,1
89,97,1
58,23,0
95,23,0
99,23,0
59,0,0
65,0,0
92,0,0
59,79,1
77,79,1
97,79,1
60,75,1
61,50,1
93,50,1
98,50,1
62,66,1
86,66,1
62,82,1
81,82,1
86,82,1
63,90,1
84,90,1
65,16,0
80,16,0
65,73,1
74,73,1
76,73,1
66,86,1
82,86,1
94,86,1
67,69,1
67,77,1
71,77,1
76,77,1
79,77,1
69,67,1
72,67,1
77,67,1
70,7,0
73,76,1
77,76,1
74,88,1
77,71,1
80,10,0
83,21,0
85,68,1
86,94,1
98,94,1
90,84,1
95,2,0
98,2,0
95,91,1
96,25,0
98,27,0
99,64,1
