vertex_1,vertex_2,is_treated
0,71,1
96,71,1
0,72,1
22,72,1
40,72,1
84,72,1
0,93,1
16,93,1
55,93,1
1,51,1
5,51,1
20,51,1
85,51,1
2,78,1
8,78,1
16,78,1
20,78,1
29,78,1
74,78,1
95,78,1
3,24,0
23,24,0
38,24,0
3,35,0
6,35,0
25,35,0
47,35,0
3,40,0
72,40,0
4,25,0
35,25,0
39,25,0
47,25,0
96,25,0
4,26,0
15,26,0
36,26,0
4,38,0
24,38,0
48,38,0
5,53,1
42,53,1
87,53,1
5,85,1
20,85,1
29,85,1
51,85,1
6,34,0
6,46,0
7,83,1
8,83,1
50,83,1
7,96,1
16,96,1
17,96,1
25,96,1
71,96,1
8,55,1
22,55,1
93,55,1
8,73,1
20,73,1
41,73,1
79,73,1
9,17,0
30,17,0
39,17,0
69,17,0
96,17,0
9,18,0
10,66,1
81,66,1
11,13,0
27,13,0
33,13,0
61,13,0
11,32,0
37,32,0
44,32,0
12,19,0
14,19,0
62,19,0
12,37,0
32,37,0
45,37,0
13,11,0
32,11,0
13,27,0
23,27,0
41,27,0
13,33,0
28,33,0
31,33,0
44,33,0
13,61,1
29,61,1
43,61,1
97,61,1
14,39,0
17,39,0
25,39,0
14,43,0
61,43,0
75,43,0
15,36,0
26,36,0
16,50,1
54,50,1
69,50,1
83,50,1
17,9,0
18,9,0
17,30,0
28,30,0
17,69,1
50,69,1
54,69,1
19,12,0
37,12,0
19,14,0
39,14,0
43,14,0
19,62,1
58,62,1
21,44,0
32,44,0
33,44,0
21,49,0
23,49,0
24,3,0
35,3,0
40,3,0
24,23,0
27,23,0
49,23,0
25,4,0
26,4,0
38,4,0
25,47,0
35,47,0
42,47,0
26,15,0
36,15,0
27,41,0
73,41,0
86,41,0
30,28,0
33,28,0
33,31,0
34,6,0
35,6,0
46,6,0
37,45,0
38,48,0
41,86,1
82,86,1
43,75,1
65,75,1
68,75,1
44,21,0
49,21,0
47,42,0
53,42,0
50,16,0
78,16,0
93,16,0
96,16,0
50,54,1
59,54,1
69,54,1
91,54,1
94,54,1
51,1,0
51,5,0
53,5,0
85,5,0
51,20,0
73,20,0
78,20,0
85,20,0
52,76,1
58,76,1
99,76,1
53,87,1
70,87,1
81,87,1
98,87,1
54,59,1
57,59,1
74,59,1
89,59,1
90,59,1
54,91,1
80,91,1
88,91,1
54,94,1
55,8,0
73,8,0
78,8,0
83,8,0
55,22,0
72,22,0
56,74,1
59,74,1
70,74,1
78,74,1
92,74,1
58,97,1
61,97,1
81,97,1
84,97,1
59,57,1
59,89,1
59,90,1
60,99,1
76,99,1
61,29,0
78,29,0
85,29,0
62,58,1
76,58,1
97,58,1
63,81,1
66,81,1
87,81,1
97,81,1
64,77,1
64,92,1
74,92,1
66,10,0
67,80,1
91,80,1
68,70,1
74,70,1
87,70,1
70,68,1
75,68,1
71,0,0
72,0,0
93,0,0
72,84,1
97,84,1
73,79,1
74,56,1
75,65,1
76,52,1
77,64,1
92,64,1
78,2,0
78,95,1
80,67,1
81,63,1
83,7,0
96,7,0
86,82,1
87,98,1
91,88,1
99,60,1
