vertex_1,vertex_2,is_treated
0,65,1
89,65,1
1,13,0
14,13,0
1,17,0
7,17,0
40,17,0
47,17,0
1,30,0
34,30,0
82,30,0
1,31,0
15,31,0
25,31,0
27,31,0
1,35,0
16,35,0
63,35,0
2,43,0
45,43,0
2,48,0
27,48,0
3,45,0
37,45,0
43,45,0
4,5,0
4,53,1
46,53,1
81,53,1
4,80,1
75,80,1
86,80,1
4,84,1
8,84,1
42,84,1
46,84,1
77,84,1
5,4,0
53,4,0
80,4,0
84,4,0
6,98,1
26,98,1
46,98,1
68,98,1
7,21,0
29,21,0
33,21,0
9,22,0
16,22,0
10,15,0
14,15,0
26,15,0
31,15,0
10,38,0
46,38,0
10,49,0
36,49,0
11,18,0
39,18,0
41,18,0
12,25,0
31,25,0
56,25,0
78,25,0
12,29,0
16,29,0
21,29,0
39,29,0
13,1,0
17,1,0
30,1,0
31,1,0
35,1,0
13,14,0
15,14,0
36,14,0
14,36,0
44,36,0
49,36,0
15,10,0
38,10,0
49,10,0
15,26,0
27,26,0
58,26,0
64,26,0
85,26,0
98,26,0
17,7,0
21,7,0
17,40,0
17,47,0
18,11,0
18,39,0
27,39,0
29,39,0
18,41,0
42,41,0
19,51,1
23,51,1
66,51,1
19,57,1
92,57,1
20,52,1
71,52,1
20,62,1
28,62,1
85,62,1
20,63,1
35,63,1
99,63,1
20,68,1
78,68,1
91,68,1
98,68,1
20,77,1
55,77,1
84,77,1
21,33,0
22,9,0
22,16,0
29,16,0
35,16,0
23,58,1
26,58,1
61,58,1
24,59,1
73,59,1
25,12,0
29,12,0
25,56,1
60,56,1
25,78,1
42,78,1
68,78,1
26,27,0
31,27,0
39,27,0
48,27,0
26,64,1
92,64,1
26,85,1
62,85,1
28,61,1
32,61,1
58,61,1
74,61,1
30,34,0
30,82,1
93,82,1
36,44,0
38,46,0
53,46,0
84,46,0
98,46,0
41,42,0
78,42,0
81,42,0
84,42,0
42,81,1
53,81,1
43,2,0
48,2,0
45,3,0
45,37,0
50,55,1
77,55,1
87,55,1
96,55,1
50,79,1
50,92,1
57,92,1
64,92,1
71,92,1
51,19,0
57,19,0
51,23,0
58,23,0
51,66,1
90,66,1
52,20,0
62,20,0
63,20,0
68,20,0
77,20,0
52,71,1
54,71,1
88,71,1
92,71,1
54,74,1
61,74,1
54,97,1
76,97,1
55,50,1
79,50,1
92,50,1
55,87,1
83,87,1
55,96,1
56,60,1
59,24,0
59,73,1
99,73,1
61,28,0
62,28,0
61,32,0
63,99,1
73,99,1
89,99,1
95,99,1
65,0,0
65,89,1
91,89,1
99,89,1
66,90,1
69,90,1
88,90,1
67,72,1
94,72,1
67,88,1
71,88,1
90,88,1
94,88,1
68,91,1
89,91,1
70,95,1
99,95,1
71,54,1
74,54,1
97,54,1
72,67,1
88,67,1
72,94,1
88,94,1
75,93,1
82,93,1
80,75,1
93,75,1
80,86,1
84,8,0
87,83,1
90,69,1
95,70,1
97,76,1
98,6,0
