vertex_1,vertex_2,is_treated
0,2,0
4,2,0
69,2,0
75,2,0
0,31,0
38,31,0
98,31,0
0,43,0
55,43,0
59,43,0
73,43,0
1,23,0
42,23,0
1,65,1
7,65,1
13,65,1
35,65,1
68,65,1
1,92,1
57,92,1
2,0,0
31,0,0
43,0,0
2,4,0
8,4,0
28,4,0
38,4,0
44,4,0
2,69,1
15,69,1
32,69,1
78,69,1
2,75,1
33,75,1
81,75,1
3,34,0
21,34,0
3,55,1
24,55,1
35,55,1
43,55,1
88,55,1
3,76,1
40,76,1
83,76,1
4,8,0
17,8,0
4,28,0
18,28,0
21,28,0
22,28,0
4,38,0
31,38,0
47,38,0
48,38,0
4,44,0
25,44,0
40,44,0
45,44,0
5,30,0
48,30,0
49,30,0
5,49,0
17,49,0
30,49,0
5,86,1
35,86,1
40,86,1
94,86,1
6,84,1
53,84,1
81,84,1
7,36,0
26,36,0
39,36,0
7,42,0
23,42,0
24,42,0
8,17,0
49,17,0
9,26,0
36,26,0
48,26,0
10,95,1
73,95,1
11,71,1
88,71,1
99,71,1
12,56,1
81,56,1
12,62,1
81,62,1
14,19,0
25,19,0
14,24,0
18,24,0
42,24,0
55,24,0
14,41,0
18,41,0
16,47,0
38,47,0
19,14,0
24,14,0
41,14,0
19,25,0
37,25,0
44,25,0
20,64,1
60,64,1
90,64,1
20,98,1
31,98,1
97,98,1
21,74,1
52,74,1
22,45,0
44,45,0
46,45,0
23,1,0
65,1,0
92,1,0
24,18,0
28,18,0
41,18,0
25,37,0
26,9,0
26,48,0
30,48,0
38,48,0
27,57,1
92,57,1
27,70,1
29,70,1
32,70,1
35,70,1
77,70,1
93,70,1
27,79,1
59,79,1
27,87,1
91,87,1
28,21,0
34,21,0
74,21,0
28,22,0
45,22,0
30,5,0
49,5,0
86,5,0
34,3,0
55,3,0
76,3,0
36,7,0
42,7,0
65,7,0
36,39,0
43,59,1
79,59,1
43,73,1
61,73,1
95,73,1
44,40,0
76,40,0
86,40,0
45,46,0
47,16,0
50,60,1
64,60,1
51,80,1
68,80,1
52,67,1
82,67,1
52,97,1
90,97,1
98,97,1
53,83,1
66,83,1
76,83,1
53,85,1
82,85,1
54,82,1
67,82,1
85,82,1
55,35,0
65,35,0
70,35,0
86,35,0
55,88,1
58,88,1
71,88,1
56,12,0
62,12,0
56,81,1
62,81,1
75,81,1
84,81,1
90,81,1
57,27,0
70,27,0
79,27,0
87,27,0
60,50,1
63,77,1
70,77,1
72,77,1
91,77,1
64,20,0
98,20,0
64,90,1
81,90,1
97,90,1
65,13,0
65,68,1
66,68,1
80,68,1
89,68,1
66,91,1
77,91,1
87,91,1
96,91,1
67,52,1
74,52,1
97,52,1
68,66,1
83,66,1
91,66,1
68,89,1
69,15,0
69,32,0
70,32,0
69,78,1
70,29,0
70,93,1
71,11,0
71,99,1
73,61,1
75,33,0
77,63,1
77,72,1
80,51,1
82,54,1
83,53,1
84,53,1
85,53,1
84,6,0
86,94,1
88,58,1
91,96,1
95,10,0
