vertex_1,vertex_2,is_treated
0,18,0
23,18,0
45,18,0
54,18,0
55,18,0
0,38,0
34,38,0
1,13,0
4,13,0
1,20,0
15,20,0
1,21,0
36,21,0
50,21,0
1,26,0
17,26,0
2,16,0
19,16,0
2,47,0
14,47,0
3,62,1
41,62,1
44,62,1
46,62,1
73,62,1
3,68,1
44,68,1
75,68,1
3,77,1
75,77,1
3,84,1
9,84,1
10,84,1
46,84,1
67,84,1
5,40,0
11,40,0
43,40,0
5,52,1
45,52,1
5,55,1
18,55,1
6,74,1
42,74,1
51,74,1
6,86,1
30,86,1
61,86,1
6,87,1
79,87,1
7,49,0
25,49,0
7,72,1
30,72,1
80,72,1
7,83,1
9,83,1
29,83,1
48,83,1
64,83,1
8,37,0
19,37,0
31,37,0
8,50,1
21,50,1
8,57,1
10,57,1
12,57,1
9,88,1
22,88,1
23,88,1
45,88,1
71,88,1
10,36,0
11,36,0
21,36,0
10,53,1
11,24,0
32,24,0
34,24,0
11,27,0
14,27,0
35,27,0
43,27,0
12,28,0
45,28,0
13,1,0
20,1,0
21,1,0
26,1,0
13,4,0
14,17,0
26,17,0
14,25,0
32,25,0
49,25,0
15,56,1
16,2,0
47,2,0
16,19,0
23,19,0
37,19,0
17,14,0
25,14,0
27,14,0
47,14,0
18,0,0
38,0,0
18,23,0
19,23,0
88,23,0
18,45,0
28,45,0
52,45,0
59,45,0
88,45,0
18,54,1
20,15,0
56,15,0
22,82,1
64,82,1
22,92,1
85,92,1
24,11,0
27,11,0
36,11,0
40,11,0
24,32,0
25,32,0
24,34,0
38,34,0
98,34,0
27,35,0
31,35,0
27,43,0
40,43,0
28,12,0
57,12,0
30,96,1
33,96,1
71,96,1
34,98,1
75,98,1
35,31,0
37,31,0
36,10,0
53,10,0
57,10,0
84,10,0
37,8,0
50,8,0
57,8,0
39,97,1
58,97,1
40,5,0
52,5,0
55,5,0
45,59,1
65,59,1
48,90,1
64,90,1
49,7,0
72,7,0
83,7,0
51,95,1
73,95,1
75,95,1
58,81,1
99,81,1
59,65,1
60,65,1
66,65,1
85,65,1
60,63,1
61,91,1
61,93,1
69,93,1
62,3,0
68,3,0
77,3,0
84,3,0
62,41,0
62,44,0
68,44,0
62,46,0
84,46,0
62,73,1
66,73,1
89,73,1
95,73,1
63,60,1
65,60,1
65,66,1
69,66,1
71,66,1
73,66,1
94,66,1
65,85,1
92,85,1
94,85,1
66,69,1
93,69,1
66,71,1
88,71,1
96,71,1
66,94,1
70,94,1
85,94,1
67,70,1
89,70,1
94,70,1
68,75,1
77,75,1
95,75,1
98,75,1
70,67,1
84,67,1
70,89,1
73,89,1
72,30,0
86,30,0
96,30,0
72,80,1
76,80,1
74,6,0
86,6,0
87,6,0
74,42,0
74,51,1
95,51,1
76,99,1
81,99,1
78,79,1
87,79,1
79,78,1
80,76,1
99,76,1
81,58,1
97,58,1
82,22,0
88,22,0
92,22,0
82,64,1
83,64,1
90,64,1
83,9,0
84,9,0
88,9,0
83,29,0
83,48,0
90,48,0
86,61,1
91,61,1
93,61,1
96,33,0
97,39,0
