vertex_1,vertex_2,is_treated
0,47,0
12,47,0
25,47,0
1,55,1
66,55,1
74,55,1
1,71,1
28,71,1
64,71,1
1,94,1
48,94,1
69,94,1
2,32,0
29,32,0
36,32,0
49,32,0
2,56,1
22,56,1
24,56,1
30,56,1
31,56,1
84,56,1
3,25,0
4,25,0
9,25,0
11,25,0
43,25,0
47,25,0
3,35,0
34,35,0
42,35,0
52,35,0
59,35,0
4,20,0
5,20,0
13,20,0
28,20,0
43,20,0
5,38,0
12,38,0
41,38,0
5,43,0
20,43,0
25,43,0
30,43,0
6,33,0
29,33,0
6,37,0
45,37,0
46,37,0
7,11,0
25,11,0
7,46,0
37,46,0
8,96,1
10,96,1
16,96,1
65,96,1
10,92,1
18,92,1
82,92,1
11,7,0
46,7,0
13,36,0
14,36,0
32,36,0
14,42,0
35,42,0
50,42,0
14,98,1
17,98,1
53,98,1
15,44,0
34,44,0
41,44,0
15,45,0
37,45,0
16,54,1
19,54,1
62,54,1
16,79,1
40,79,1
49,79,1
51,79,1
16,90,1
22,90,1
51,90,1
18,99,1
22,99,1
24,99,1
83,99,1
19,70,1
83,70,1
19,76,1
48,76,1
83,76,1
20,4,0
25,4,0
20,5,0
38,5,0
43,5,0
20,13,0
36,13,0
20,28,0
23,28,0
71,28,0
21,86,1
26,86,1
93,86,1
22,89,1
66,89,1
23,30,0
43,30,0
56,30,0
23,49,0
32,49,0
79,49,0
23,50,1
29,50,1
42,50,1
25,3,0
35,3,0
25,9,0
27,53,1
63,53,1
85,53,1
98,53,1
28,23,0
30,23,0
49,23,0
50,23,0
32,2,0
56,2,0
32,29,0
33,29,0
50,29,0
33,6,0
37,6,0
35,34,0
44,34,0
35,52,1
35,59,1
95,59,1
36,14,0
42,14,0
98,14,0
38,12,0
47,12,0
38,41,0
44,41,0
39,87,1
48,87,1
60,87,1
44,15,0
45,15,0
47,0,0
51,58,1
77,58,1
51,69,1
94,69,1
53,27,0
53,63,1
67,63,1
78,63,1
53,85,1
93,85,1
54,16,0
79,16,0
90,16,0
96,16,0
54,19,0
70,19,0
76,19,0
54,62,1
55,1,0
71,1,0
94,1,0
55,66,1
78,66,1
89,66,1
55,74,1
61,74,1
78,74,1
56,22,0
89,22,0
90,22,0
99,22,0
56,24,0
99,24,0
56,31,0
56,84,1
73,84,1
88,84,1
57,88,1
84,88,1
97,88,1
58,51,1
69,51,1
79,51,1
90,51,1
58,77,1
75,77,1
81,77,1
59,95,1
61,67,1
63,67,1
68,67,1
61,72,1
61,93,1
68,93,1
85,93,1
86,93,1
63,78,1
66,78,1
74,78,1
67,61,1
72,61,1
74,61,1
93,61,1
67,68,1
93,68,1
70,83,1
76,83,1
99,83,1
71,64,1
73,80,1
76,48,0
87,48,0
94,48,0
77,75,1
77,81,1
79,40,0
80,73,1
84,73,1
82,91,1
86,21,0
86,26,0
87,39,0
87,60,1
88,57,1
88,97,1
91,82,1
92,82,1
92,10,0
96,10,0
92,18,0
99,18,0
96,8,0
96,65,1
98,17,0
