vertex_1,vertex_2,is_treated
0,18,0
4,18,0
22,18,0
43,18,0
45,18,0
0,34,0
4,34,0
43,34,0
1,89,1
5,89,1
40,89,1
84,89,1
1,90,1
2,90,1
22,90,1
36,90,1
45,90,1
66,90,1
2,8,0
16,8,0
46,8,0
2,15,0
31,15,0
37,15,0
38,15,0
3,50,1
53,50,1
63,50,1
93,50,1
4,14,0
20,14,0
29,14,0
5,92,1
56,92,1
6,77,1
32,77,1
61,77,1
7,81,1
11,81,1
33,81,1
70,81,1
8,2,0
15,2,0
90,2,0
8,16,0
12,16,0
38,16,0
47,16,0
48,16,0
8,46,0
9,32,0
27,32,0
77,32,0
9,45,0
18,45,0
69,45,0
84,45,0
90,45,0
10,69,1
20,69,1
45,69,1
73,69,1
11,59,1
25,59,1
64,59,1
11,95,1
33,95,1
67,95,1
12,36,0
60,36,0
90,36,0
12,42,0
39,42,0
13,37,0
15,37,0
47,37,0
13,41,0
38,41,0
39,41,0
13,48,0
16,48,0
31,48,0
14,4,0
18,4,0
34,4,0
14,20,0
24,20,0
30,20,0
69,20,0
91,20,0
96,20,0
14,29,0
15,31,0
48,31,0
15,38,0
16,38,0
41,38,0
16,12,0
36,12,0
42,12,0
16,47,0
37,47,0
44,47,0
49,47,0
17,75,1
51,75,1
18,0,0
34,0,0
18,22,0
88,22,0
90,22,0
18,43,0
24,43,0
34,43,0
19,98,1
99,98,1
20,24,0
43,24,0
20,30,0
20,91,1
60,91,1
64,91,1
20,96,1
58,96,1
65,96,1
21,40,0
70,40,0
74,40,0
76,40,0
89,40,0
22,88,1
57,88,1
79,88,1
23,28,0
35,28,0
44,28,0
25,44,0
26,44,0
28,44,0
33,44,0
47,44,0
26,55,1
64,55,1
73,55,1
26,65,1
96,65,1
28,23,0
28,35,0
32,9,0
45,9,0
32,27,0
36,60,1
82,60,1
91,60,1
37,13,0
41,13,0
48,13,0
40,21,0
40,70,1
81,70,1
40,74,1
54,74,1
40,76,1
83,76,1
41,39,0
42,39,0
44,25,0
59,25,0
44,26,0
55,26,0
65,26,0
44,33,0
81,33,0
95,33,0
45,84,1
61,84,1
89,84,1
47,49,0
50,3,0
50,53,1
54,53,1
50,63,1
52,63,1
50,93,1
62,93,1
51,68,1
51,71,1
51,79,1
88,79,1
51,83,1
58,83,1
76,83,1
78,83,1
53,54,1
74,54,1
55,64,1
59,64,1
91,64,1
55,73,1
58,73,1
69,73,1
85,73,1
58,62,1
85,62,1
93,62,1
59,11,0
81,11,0
95,11,0
60,82,1
66,82,1
61,97,1
62,58,1
73,58,1
83,58,1
96,58,1
62,85,1
73,85,1
86,85,1
63,52,1
66,80,1
67,72,1
67,94,1
68,51,1
71,51,1
75,51,1
79,51,1
83,51,1
69,10,0
72,67,1
94,67,1
95,67,1
75,17,0
77,6,0
77,61,1
84,61,1
97,61,1
80,66,1
82,66,1
90,66,1
81,7,0
83,78,1
85,86,1
87,86,1
99,86,1
86,87,1
99,87,1
86,99,1
87,99,1
98,99,1
88,57,1
89,1,0
90,1,0
89,5,0
92,5,0
92,56,1
98,19,0
