vertex_1,vertex_2,is_treated
0,36,0
5,36,0
6,36,0
0,43,0
16,43,0
26,43,0
35,43,0
1,19,0
18,19,0
55,19,0
2,15,0
48,15,0
2,32,0
5,32,0
11,32,0
3,28,0
12,28,0
48,28,0
88,28,0
3,50,1
17,50,1
24,50,1
3,84,1
17,84,1
97,84,1
4,45,0
8,45,0
51,45,0
7,75,1
14,75,1
92,75,1
8,20,0
29,20,0
8,31,0
21,31,0
8,47,0
22,47,0
27,47,0
9,29,0
20,29,0
55,29,0
10,82,1
39,82,1
99,82,1
10,86,1
14,86,1
80,86,1
11,12,0
28,12,0
53,12,0
11,17,0
26,17,0
50,17,0
84,17,0
11,34,0
13,34,0
24,34,0
12,11,0
17,11,0
32,11,0
34,11,0
12,53,1
14,85,1
97,85,1
14,98,1
22,98,1
44,98,1
72,98,1
15,2,0
32,2,0
15,48,0
28,48,0
16,23,0
27,23,0
35,23,0
16,55,1
19,55,1
29,55,1
16,83,1
68,83,1
17,26,0
35,26,0
38,26,0
43,26,0
18,21,0
31,21,0
18,58,1
74,58,1
88,58,1
19,1,0
19,18,0
21,18,0
58,18,0
20,8,0
31,8,0
45,8,0
47,8,0
22,25,0
38,25,0
22,38,0
25,38,0
26,38,0
23,16,0
43,16,0
55,16,0
83,16,0
23,27,0
24,27,0
47,27,0
23,35,0
26,35,0
43,35,0
25,22,0
38,22,0
47,22,0
98,22,0
27,24,0
34,24,0
50,24,0
28,3,0
50,3,0
84,3,0
28,88,1
40,88,1
58,88,1
29,9,0
30,62,1
39,62,1
97,62,1
30,81,1
54,81,1
30,93,1
42,93,1
71,93,1
32,5,0
36,5,0
33,60,1
79,60,1
34,13,0
36,0,0
43,0,0
36,6,0
37,59,1
41,59,1
64,59,1
99,59,1
37,91,1
44,91,1
69,91,1
41,77,1
67,77,1
99,77,1
45,4,0
45,51,1
46,57,1
78,57,1
49,87,1
56,87,1
52,67,1
77,67,1
52,76,1
79,76,1
89,76,1
52,90,1
54,80,1
79,80,1
86,80,1
54,95,1
89,95,1
56,94,1
64,94,1
56,97,1
62,97,1
84,97,1
85,97,1
57,46,0
57,78,1
66,78,1
96,78,1
58,74,1
71,74,1
59,37,0
91,37,0
59,41,0
77,41,0
59,64,1
94,64,1
59,99,1
61,99,1
77,99,1
82,99,1
60,33,0
60,79,1
71,79,1
76,79,1
80,79,1
61,69,1
91,69,1
62,30,0
81,30,0
93,30,0
62,39,0
82,39,0
63,70,1
63,73,1
63,92,1
75,92,1
63,96,1
78,96,1
65,66,1
78,66,1
66,65,1
67,52,1
76,52,1
90,52,1
69,61,1
99,61,1
70,63,1
73,63,1
92,63,1
96,63,1
74,71,1
79,71,1
93,71,1
75,7,0
75,14,0
85,14,0
86,14,0
98,14,0
76,89,1
95,89,1
80,54,1
81,54,1
95,54,1
82,10,0
86,10,0
83,68,1
87,49,0
87,56,1
94,56,1
97,56,1
88,40,0
91,44,0
98,44,0
93,42,0
98,72,1
