vertex_1,vertex_2,is_treated
0,89,1
21,89,1
51,89,1
71,89,1
0,92,1
68,92,1
1,7,0
16,7,0
23,7,0
1,32,0
16,32,0
36,32,0
1,42,0
20,42,0
34,42,0
82,42,0
1,81,1
61,81,1
2,15,0
5,15,0
28,15,0
43,15,0
47,15,0
2,44,0
6,44,0
51,44,0
61,44,0
2,46,0
2,49,0
31,49,0
48,49,0
3,31,0
49,31,0
4,35,0
40,35,0
47,35,0
4,91,1
71,91,1
4,99,1
17,99,1
29,99,1
82,99,1
5,30,0
75,30,0
5,33,0
25,33,0
43,33,0
6,24,0
39,24,0
6,28,0
15,28,0
75,28,0
77,28,0
7,1,0
32,1,0
42,1,0
81,1,0
7,16,0
32,16,0
47,16,0
7,23,0
10,23,0
25,23,0
8,10,0
23,10,0
59,10,0
8,26,0
43,26,0
9,17,0
40,17,0
93,17,0
99,17,0
9,38,0
20,38,0
10,8,0
26,8,0
10,59,1
14,59,1
80,59,1
11,68,1
92,68,1
98,68,1
12,62,1
27,62,1
52,62,1
72,62,1
74,62,1
12,77,1
28,77,1
36,77,1
73,77,1
13,41,0
13,45,0
48,45,0
14,52,1
54,52,1
57,52,1
62,52,1
90,52,1
15,2,0
44,2,0
46,2,0
49,2,0
15,5,0
30,5,0
33,5,0
15,43,0
26,43,0
33,43,0
15,47,0
16,47,0
20,47,0
35,47,0
37,47,0
17,9,0
38,9,0
17,40,0
35,40,0
17,93,1
27,93,1
50,93,1
18,73,1
77,73,1
19,86,1
55,86,1
22,80,1
59,80,1
23,25,0
33,25,0
24,6,0
28,6,0
44,6,0
24,39,0
27,88,1
60,88,1
27,97,1
34,97,1
36,97,1
70,97,1
28,75,1
30,75,1
55,75,1
29,94,1
71,94,1
29,96,1
74,96,1
79,96,1
31,3,0
32,36,0
51,36,0
65,36,0
77,36,0
97,36,0
34,61,1
44,61,1
81,61,1
35,4,0
91,4,0
99,4,0
36,51,1
44,51,1
89,51,1
36,65,1
95,65,1
38,20,0
42,20,0
47,20,0
41,13,0
45,13,0
42,34,0
61,34,0
97,34,0
42,82,1
99,82,1
45,48,0
49,48,0
47,37,0
50,69,1
66,69,1
78,69,1
95,69,1
50,78,1
69,78,1
52,14,0
59,14,0
52,54,1
64,54,1
85,54,1
98,54,1
52,57,1
55,57,1
52,90,1
53,87,1
72,87,1
98,87,1
54,64,1
54,85,1
54,98,1
55,98,1
68,98,1
87,98,1
56,76,1
70,76,1
84,76,1
57,55,1
75,55,1
86,55,1
98,55,1
58,60,1
88,60,1
60,58,1
62,12,0
77,12,0
62,27,0
88,27,0
93,27,0
97,27,0
62,72,1
63,72,1
87,72,1
62,74,1
96,74,1
63,70,1
71,70,1
76,70,1
97,70,1
65,95,1
69,95,1
67,84,1
76,84,1
68,11,0
69,50,1
78,50,1
93,50,1
69,66,1
70,63,1
72,63,1
70,71,1
89,71,1
91,71,1
94,71,1
73,18,0
76,56,1
79,83,1
80,22,0
83,79,1
96,79,1
84,67,1
86,19,0
87,53,1
89,0,0
92,0,0
89,21,0
94,29,0
96,29,0
99,29,0
