vertex_1,vertex_2,is_treated
0,11,0
28,11,0
0,33,0
1,33,0
15,33,0
29,33,0
1,29,0
4,29,0
20,29,0
33,29,0
2,18,0
39,18,0
2,20,0
15,20,0
22,20,0
29,20,0
46,20,0
2,77,1
78,77,1
3,56,1
6,56,1
64,56,1
3,60,1
14,60,1
30,60,1
53,60,1
3,81,1
5,81,1
37,81,1
49,81,1
69,81,1
3,86,1
76,86,1
4,41,0
34,41,0
39,41,0
6,51,1
98,51,1
6,53,1
34,53,1
60,53,1
6,97,1
80,97,1
7,10,0
25,10,0
7,25,0
10,25,0
7,31,0
15,31,0
22,31,0
7,48,0
27,48,0
47,48,0
7,79,1
68,79,1
8,12,0
34,12,0
8,42,0
78,42,0
99,42,0
9,16,0
26,16,0
27,16,0
40,16,0
9,46,0
20,46,0
38,46,0
10,7,0
25,7,0
31,7,0
48,7,0
79,7,0
11,0,0
33,0,0
11,28,0
44,28,0
12,8,0
42,8,0
12,34,0
41,34,0
53,34,0
13,72,1
24,72,1
55,72,1
13,95,1
55,95,1
65,95,1
14,22,0
20,22,0
31,22,0
14,43,0
15,44,0
28,44,0
49,44,0
16,9,0
46,9,0
16,26,0
23,26,0
16,27,0
39,27,0
48,27,0
16,40,0
45,40,0
17,84,1
19,84,1
21,84,1
55,84,1
18,2,0
20,2,0
77,2,0
18,39,0
27,39,0
41,39,0
19,94,1
32,94,1
35,94,1
58,94,1
20,15,0
31,15,0
33,15,0
44,15,0
21,63,1
36,63,1
59,63,1
68,63,1
22,14,0
43,14,0
60,14,0
23,45,0
40,45,0
24,99,1
42,99,1
69,99,1
26,23,0
45,23,0
29,1,0
33,1,0
29,4,0
41,4,0
30,65,1
95,65,1
32,64,1
56,64,1
69,64,1
32,85,1
49,85,1
90,85,1
38,47,0
48,47,0
42,78,1
49,78,1
77,78,1
44,49,0
66,49,0
78,49,0
81,49,0
85,49,0
46,38,0
47,38,0
49,66,1
89,66,1
50,54,1
67,54,1
70,54,1
87,54,1
98,54,1
50,69,1
64,69,1
81,69,1
99,69,1
50,87,1
54,87,1
51,6,0
53,6,0
56,6,0
97,6,0
51,98,1
52,98,1
54,98,1
52,74,1
88,74,1
54,50,1
69,50,1
87,50,1
54,67,1
73,67,1
54,70,1
55,82,1
61,82,1
89,82,1
92,82,1
55,91,1
83,91,1
56,3,0
60,3,0
81,3,0
86,3,0
57,88,1
71,88,1
74,88,1
57,96,1
89,96,1
58,62,1
93,62,1
58,75,1
58,92,1
76,92,1
82,92,1
59,76,1
86,76,1
92,76,1
60,30,0
65,30,0
62,58,1
75,58,1
92,58,1
94,58,1
62,93,1
63,21,0
84,21,0
63,36,0
63,59,1
76,59,1
63,68,1
79,68,1
64,32,0
85,32,0
94,32,0
66,89,1
82,89,1
96,89,1
67,73,1
72,13,0
95,13,0
72,24,0
99,24,0
72,55,1
82,55,1
84,55,1
91,55,1
95,55,1
74,52,1
98,52,1
81,5,0
81,37,0
82,61,1
84,17,0
84,19,0
94,19,0
85,90,1
88,57,1
96,57,1
88,71,1
91,83,1
94,35,0
97,80,1
