vertex_1,vertex_2,is_treated
0,4,0
36,4,0
45,4,0
0,23,0
28,23,0
38,23,0
47,23,0
0,38,0
3,38,0
23,38,0
31,38,0
1,72,1
20,72,1
83,72,1
2,70,1
39,70,1
93,70,1
2,89,1
12,89,1
18,89,1
53,89,1
3,32,0
29,32,0
46,32,0
3,42,0
40,42,0
45,42,0
4,0,0
23,0,0
38,0,0
4,36,0
11,36,0
12,36,0
4,45,0
6,45,0
42,45,0
5,84,1
16,84,1
95,84,1
6,28,0
19,28,0
23,28,0
6,49,0
31,49,0
7,74,1
9,74,1
20,74,1
71,74,1
83,74,1
7,82,1
80,82,1
92,82,1
8,79,1
68,79,1
8,83,1
72,83,1
74,83,1
88,83,1
10,40,0
42,40,0
46,40,0
10,64,1
18,64,1
25,64,1
34,64,1
55,64,1
10,78,1
37,78,1
44,78,1
97,78,1
11,21,0
15,21,0
11,27,0
51,27,0
71,27,0
99,27,0
11,47,0
23,47,0
41,47,0
13,15,0
21,15,0
13,24,0
13,35,0
30,35,0
13,39,0
70,39,0
14,17,0
37,17,0
14,48,0
22,48,0
33,48,0
15,13,0
24,13,0
35,13,0
39,13,0
16,85,1
54,85,1
96,85,1
17,14,0
48,14,0
17,37,0
43,37,0
71,37,0
78,37,0
18,93,1
19,93,1
70,93,1
19,51,1
27,51,1
54,51,1
20,31,0
38,31,0
49,31,0
21,11,0
27,11,0
36,11,0
47,11,0
25,30,0
35,30,0
26,43,0
34,43,0
37,43,0
44,43,0
27,71,1
37,71,1
74,71,1
27,99,1
34,99,1
44,99,1
94,99,1
28,6,0
45,6,0
49,6,0
28,19,0
51,19,0
93,19,0
29,41,0
47,41,0
30,25,0
64,25,0
31,20,0
72,20,0
74,20,0
32,3,0
38,3,0
42,3,0
32,29,0
41,29,0
32,46,0
40,46,0
36,12,0
89,12,0
40,10,0
64,10,0
78,10,0
43,26,0
43,34,0
64,34,0
99,34,0
43,44,0
78,44,0
99,44,0
48,22,0
48,33,0
50,68,1
60,68,1
79,68,1
50,87,1
57,87,1
95,87,1
51,54,1
57,54,1
85,54,1
91,54,1
52,58,1
52,66,1
88,66,1
53,91,1
54,91,1
56,91,1
65,91,1
54,57,1
59,57,1
87,57,1
57,59,1
62,59,1
58,52,1
66,52,1
59,62,1
61,75,1
63,75,1
77,75,1
98,75,1
61,88,1
66,88,1
83,88,1
96,88,1
63,92,1
82,92,1
86,92,1
64,18,0
89,18,0
93,18,0
64,55,1
65,76,1
67,80,1
69,80,1
82,80,1
94,80,1
68,50,1
87,50,1
68,60,1
70,2,0
89,2,0
72,1,0
73,90,1
77,90,1
74,7,0
82,7,0
74,9,0
75,61,1
88,61,1
75,63,1
92,63,1
75,77,1
90,77,1
75,98,1
95,98,1
76,65,1
91,65,1
78,97,1
79,8,0
83,8,0
80,67,1
80,69,1
80,94,1
99,94,1
81,96,1
85,96,1
88,96,1
84,5,0
84,16,0
85,16,0
84,95,1
87,95,1
98,95,1
89,53,1
91,53,1
90,73,1
91,56,1
92,86,1
96,81,1
