vertex_1,vertex_2,is_treated
0,53,1
8,53,1
51,53,1
0,55,1
26,55,1
49,55,1
62,55,1
0,98,1
8,98,1
82,98,1
1,3,0
4,3,0
15,3,0
20,3,0
93,3,0
1,31,0
1,34,0
18,34,0
50,34,0
52,34,0
65,34,0
1,38,0
13,38,0
15,38,0
33,38,0
2,59,1
30,59,1
46,59,1
75,59,1
81,59,1
3,1,0
31,1,0
34,1,0
38,1,0
3,4,0
9,4,0
74,4,0
3,15,0
38,15,0
3,20,0
30,20,0
3,93,1
14,93,1
61,93,1
4,9,0
14,9,0
48,9,0
4,74,1
47,74,1
54,74,1
5,14,0
9,14,0
93,14,0
5,36,0
10,36,0
18,36,0
33,36,0
5,63,1
67,63,1
87,63,1
6,76,1
29,76,1
65,76,1
7,19,0
32,19,0
7,40,0
35,40,0
52,40,0
8,57,1
96,57,1
8,64,1
89,64,1
8,83,1
17,83,1
70,83,1
87,83,1
9,48,0
30,48,0
10,21,0
23,21,0
37,21,0
84,21,0
10,23,0
21,23,0
49,23,0
10,28,0
16,28,0
44,28,0
11,79,1
18,79,1
99,79,1
12,51,1
24,51,1
53,51,1
13,43,0
25,43,0
44,43,0
14,5,0
36,5,0
63,5,0
16,35,0
40,35,0
46,35,0
16,39,0
41,39,0
16,44,0
28,44,0
43,44,0
17,97,1
89,97,1
19,7,0
40,7,0
19,32,0
52,32,0
20,30,0
48,30,0
59,30,0
21,10,0
23,10,0
28,10,0
36,10,0
21,37,0
25,37,0
21,84,1
22,84,1
24,84,1
91,84,1
22,52,1
32,52,1
34,52,1
40,52,1
92,52,1
23,49,0
55,49,0
27,41,0
39,41,0
27,45,0
47,45,0
28,16,0
35,16,0
39,16,0
44,16,0
34,18,0
36,18,0
79,18,0
34,50,1
56,50,1
34,65,1
76,65,1
35,46,0
59,46,0
94,46,0
36,33,0
38,33,0
37,25,0
43,25,0
38,13,0
43,13,0
41,27,0
45,27,0
42,47,0
45,47,0
74,47,0
46,94,1
62,94,1
72,94,1
87,94,1
47,42,0
50,56,1
51,12,0
51,24,0
84,24,0
52,22,0
84,22,0
52,92,1
54,92,1
53,0,0
55,0,0
98,0,0
53,8,0
57,8,0
64,8,0
83,8,0
98,8,0
54,80,1
85,80,1
55,26,0
55,62,1
67,62,1
94,62,1
57,96,1
72,96,1
78,96,1
58,78,1
72,78,1
96,78,1
59,2,0
59,75,1
85,75,1
88,75,1
59,81,1
60,91,1
73,91,1
84,91,1
61,85,1
69,85,1
75,85,1
80,85,1
62,67,1
63,67,1
63,87,1
71,87,1
82,87,1
83,87,1
94,87,1
64,89,1
66,89,1
97,89,1
66,69,1
85,69,1
95,69,1
66,86,1
66,90,1
68,71,1
87,71,1
69,66,1
86,66,1
89,66,1
90,66,1
69,95,1
70,77,1
71,68,1
72,82,1
87,82,1
98,82,1
74,54,1
80,54,1
92,54,1
75,88,1
76,6,0
76,29,0
77,70,1
83,70,1
78,58,1
78,72,1
82,72,1
94,72,1
96,72,1
79,11,0
79,99,1
83,17,0
97,17,0
85,61,1
93,61,1
91,60,1
91,73,1
