vertex_1,vertex_2,is_treated
0,12,0
10,12,0
11,12,0
16,12,0
37,12,0
1,23,0
35,23,0
36,23,0
1,57,1
9,57,1
21,57,1
52,57,1
86,57,1
1,70,1
31,70,1
32,70,1
41,70,1
52,70,1
73,70,1
2,45,0
7,45,0
48,45,0
2,98,1
34,98,1
56,98,1
3,60,1
8,60,1
27,60,1
92,60,1
3,61,1
33,61,1
67,61,1
3,65,1
34,65,1
97,65,1
3,67,1
27,67,1
37,67,1
61,67,1
4,16,0
12,16,0
18,16,0
39,16,0
4,47,0
8,47,0
40,47,0
50,47,0
5,55,1
31,55,1
34,55,1
69,55,1
6,19,0
17,19,0
18,19,0
6,51,1
21,51,1
62,51,1
7,15,0
7,28,0
49,28,0
72,28,0
8,43,0
26,43,0
8,50,1
47,50,1
9,35,0
23,35,0
9,72,1
28,72,1
34,72,1
81,72,1
9,94,1
87,94,1
10,25,0
49,25,0
10,29,0
22,29,0
11,24,0
13,24,0
12,0,0
12,10,0
25,10,0
29,10,0
12,11,0
24,11,0
12,37,0
26,37,0
58,37,0
67,37,0
83,37,0
13,30,0
17,30,0
14,39,0
16,39,0
40,39,0
14,49,0
25,49,0
28,49,0
14,59,1
44,59,1
93,59,1
15,7,0
28,7,0
45,7,0
16,4,0
47,4,0
16,18,0
19,18,0
19,6,0
51,6,0
19,17,0
30,17,0
20,26,0
37,26,0
43,26,0
20,36,0
23,36,0
48,36,0
21,88,1
42,88,1
84,88,1
22,48,0
36,48,0
45,48,0
23,1,0
57,1,0
70,1,0
24,13,0
30,13,0
26,20,0
36,20,0
29,22,0
48,22,0
33,54,1
92,54,1
35,9,0
57,9,0
72,9,0
94,9,0
37,58,1
92,58,1
37,83,1
99,83,1
38,75,1
44,75,1
62,75,1
39,14,0
49,14,0
59,14,0
39,40,0
47,40,0
42,77,1
82,77,1
43,8,0
47,8,0
50,8,0
60,8,0
45,2,0
98,2,0
46,63,1
73,63,1
51,21,0
57,21,0
88,21,0
51,62,1
68,62,1
75,62,1
52,82,1
77,82,1
90,82,1
96,82,1
53,97,1
65,97,1
71,97,1
54,33,0
61,33,0
54,92,1
58,92,1
60,92,1
86,92,1
55,5,0
55,31,0
70,31,0
55,34,0
65,34,0
72,34,0
98,34,0
55,69,1
57,52,1
70,52,1
82,52,1
57,86,1
92,86,1
59,44,0
75,44,0
59,93,1
60,3,0
61,3,0
65,3,0
67,3,0
60,27,0
67,27,0
62,68,1
63,46,0
63,73,1
70,73,1
87,73,1
89,73,1
64,91,1
78,91,1
80,91,1
87,91,1
66,81,1
72,81,1
74,81,1
70,32,0
70,41,0
71,95,1
79,95,1
90,95,1
73,87,1
91,87,1
94,87,1
73,89,1
75,38,0
76,96,1
82,96,1
77,42,0
88,42,0
79,80,1
91,80,1
80,79,1
95,79,1
81,66,1
81,74,1
82,90,1
95,90,1
83,99,1
85,99,1
84,85,1
99,85,1
85,84,1
88,84,1
91,64,1
91,78,1
95,71,1
97,71,1
96,76,1
97,53,1
98,56,1
