vertex_1,vertex_2,is_treated
0,23,0
3,23,0
24,23,0
0,25,0
1,25,0
42,25,0
1,29,0
11,29,0
1,39,0
47,39,0
2,67,1
5,67,1
8,67,1
26,67,1
30,67,1
69,67,1
2,97,1
68,97,1
80,97,1
3,19,0
20,19,0
3,45,0
4,46,0
24,46,0
35,46,0
4,62,1
16,62,1
94,62,1
4,71,1
74,71,1
5,57,1
53,57,1
93,57,1
5,79,1
12,79,1
78,79,1
5,98,1
69,98,1
76,98,1
5,99,1
40,99,1
54,99,1
56,99,1
6,9,0
13,9,0
27,9,0
28,9,0
47,9,0
6,64,1
32,64,1
36,64,1
93,64,1
7,61,1
72,61,1
84,61,1
7,92,1
36,92,1
85,92,1
9,6,0
64,6,0
9,13,0
27,13,0
42,13,0
9,27,0
13,27,0
9,28,0
15,28,0
18,28,0
9,47,0
20,47,0
39,47,0
10,26,0
41,26,0
49,26,0
67,26,0
10,31,0
17,31,0
21,31,0
11,33,0
38,33,0
12,58,1
86,58,1
13,42,0
18,42,0
25,42,0
35,42,0
14,15,0
20,15,0
28,15,0
14,37,0
43,37,0
15,14,0
37,14,0
15,20,0
19,20,0
47,20,0
17,21,0
31,21,0
18,87,1
94,87,1
19,3,0
23,3,0
45,3,0
21,17,0
31,17,0
22,70,1
59,70,1
22,80,1
97,80,1
22,89,1
54,89,1
22,95,1
84,95,1
23,0,0
25,0,0
23,24,0
46,24,0
25,1,0
29,1,0
39,1,0
26,10,0
31,10,0
26,41,0
44,41,0
26,49,0
82,49,0
28,18,0
42,18,0
87,18,0
29,11,0
33,11,0
30,63,1
69,63,1
81,63,1
30,68,1
32,68,1
97,68,1
32,75,1
78,75,1
32,82,1
49,82,1
52,82,1
33,38,0
43,38,0
48,38,0
34,35,0
42,35,0
46,35,0
34,44,0
41,44,0
35,34,0
44,34,0
37,43,0
38,43,0
38,48,0
40,65,1
93,65,1
46,4,0
62,4,0
71,4,0
50,51,1
52,51,1
96,51,1
50,53,1
52,53,1
57,53,1
91,53,1
50,74,1
71,74,1
50,91,1
53,91,1
51,50,1
53,50,1
74,50,1
91,50,1
51,52,1
53,52,1
82,52,1
51,96,1
60,96,1
54,86,1
55,86,1
58,86,1
55,73,1
56,77,1
72,77,1
57,5,0
67,5,0
79,5,0
98,5,0
99,5,0
57,93,1
64,93,1
65,93,1
88,93,1
58,12,0
79,12,0
59,66,1
72,66,1
61,7,0
92,7,0
61,72,1
66,72,1
77,72,1
90,72,1
61,84,1
83,84,1
95,84,1
62,16,0
62,94,1
87,94,1
63,30,0
67,30,0
68,30,0
63,69,1
67,69,1
98,69,1
63,81,1
83,81,1
64,32,0
68,32,0
75,32,0
82,32,0
64,36,0
92,36,0
65,40,0
99,40,0
66,59,1
70,59,1
67,2,0
97,2,0
67,8,0
70,22,0
80,22,0
89,22,0
95,22,0
72,90,1
73,55,1
86,55,1
75,78,1
79,78,1
77,56,1
99,56,1
81,83,1
84,83,1
86,54,1
89,54,1
99,54,1
92,85,1
93,88,1
96,60,1
98,76,1
