vertex_1,vertex_2,is_treated
0,25,0
73,25,0
92,25,0
1,28,0
13,28,0
34,28,0
36,28,0
1,63,1
2,63,1
7,63,1
10,63,1
14,63,1
24,63,1
56,63,1
1,72,1
10,72,1
53,72,1
75,72,1
90,72,1
92,72,1
1,73,1
25,73,1
58,73,1
60,73,1
1,74,1
3,74,1
52,74,1
90,74,1
2,81,1
77,81,1
3,98,1
16,98,1
89,98,1
4,38,0
13,38,0
51,38,0
55,38,0
5,9,0
21,9,0
37,9,0
42,9,0
5,19,0
37,19,0
5,48,0
26,48,0
31,48,0
39,48,0
6,13,0
28,13,0
38,13,0
83,13,0
6,18,0
11,18,0
7,83,1
12,83,1
13,83,1
50,83,1
8,34,0
28,34,0
8,37,0
9,37,0
19,37,0
9,5,0
19,5,0
48,5,0
9,21,0
22,21,0
40,21,0
43,21,0
9,42,0
17,42,0
26,42,0
46,42,0
11,41,0
68,41,0
13,6,0
18,6,0
14,55,1
38,55,1
76,55,1
88,55,1
14,97,1
77,97,1
15,59,1
50,59,1
52,59,1
16,65,1
66,65,1
16,69,1
87,69,1
17,33,0
29,33,0
96,33,0
17,35,0
23,35,0
53,35,0
17,47,0
44,47,0
18,11,0
41,11,0
20,22,0
21,22,0
20,27,0
30,27,0
21,40,0
26,40,0
21,43,0
44,43,0
49,43,0
22,20,0
27,20,0
23,31,0
44,31,0
48,31,0
24,54,1
77,54,1
25,0,0
25,92,1
72,92,1
27,30,0
32,30,0
39,30,0
28,1,0
63,1,0
72,1,0
73,1,0
74,1,0
28,36,0
76,36,0
30,32,0
30,39,0
48,39,0
31,23,0
35,23,0
31,44,0
43,44,0
45,44,0
47,44,0
84,44,0
33,17,0
35,17,0
42,17,0
47,17,0
33,29,0
33,96,1
46,96,1
58,96,1
34,8,0
37,8,0
35,53,1
72,53,1
36,76,1
46,76,1
55,76,1
38,4,0
38,51,1
46,51,1
82,51,1
40,26,0
42,26,0
48,26,0
41,68,1
89,68,1
42,46,0
51,46,0
76,46,0
96,46,0
43,49,0
71,49,0
44,45,0
44,84,1
87,84,1
49,71,1
85,71,1
50,89,1
68,89,1
98,89,1
51,82,1
67,82,1
52,80,1
52,94,1
54,24,0
63,24,0
54,77,1
56,77,1
78,77,1
81,77,1
97,77,1
55,14,0
63,14,0
97,14,0
55,88,1
57,88,1
99,88,1
58,93,1
61,93,1
62,93,1
79,93,1
87,93,1
59,15,0
59,50,1
83,50,1
89,50,1
59,52,1
74,52,1
80,52,1
94,52,1
60,75,1
70,75,1
72,75,1
60,91,1
87,91,1
61,85,1
64,85,1
71,85,1
63,2,0
81,2,0
63,7,0
83,7,0
63,10,0
72,10,0
63,56,1
77,56,1
65,16,0
69,16,0
98,16,0
65,66,1
67,86,1
69,87,1
84,87,1
91,87,1
93,87,1
72,90,1
74,90,1
73,58,1
93,58,1
96,58,1
73,60,1
75,60,1
91,60,1
74,3,0
98,3,0
75,70,1
77,78,1
82,67,1
86,67,1
83,12,0
85,61,1
93,61,1
85,64,1
88,57,1
88,99,1
95,99,1
93,62,1
93,79,1
99,95,1
