vertex_1,vertex_2,is_treated
0,66,1
76,66,1
0,94,1
12,94,1
21,94,1
91,94,1
1,80,1
13,80,1
17,80,1
88,80,1
1,83,1
19,83,1
31,83,1
39,83,1
53,83,1
2,8,0
9,8,0
2,9,0
3,9,0
8,9,0
42,9,0
48,9,0
2,40,0
43,40,0
3,28,0
38,28,0
3,36,0
5,36,0
25,36,0
4,10,0
27,10,0
44,10,0
46,10,0
4,24,0
5,23,0
33,23,0
5,34,0
45,34,0
5,46,0
10,46,0
27,46,0
6,77,1
7,77,1
21,77,1
61,77,1
67,77,1
7,51,1
16,51,1
37,51,1
59,51,1
7,78,1
57,78,1
7,81,1
50,81,1
7,92,1
12,92,1
17,92,1
21,92,1
50,92,1
8,2,0
9,2,0
40,2,0
9,3,0
28,3,0
36,3,0
9,42,0
45,42,0
9,48,0
41,48,0
10,4,0
24,4,0
10,27,0
15,27,0
35,27,0
44,27,0
46,27,0
49,27,0
10,44,0
27,44,0
30,44,0
11,15,0
22,15,0
27,15,0
11,32,0
12,57,1
41,57,1
78,57,1
96,57,1
14,55,1
17,55,1
21,55,1
90,55,1
14,62,1
20,62,1
35,62,1
50,62,1
15,11,0
32,11,0
15,22,0
69,22,0
17,18,0
33,18,0
17,31,0
83,31,0
17,52,1
41,52,1
89,52,1
18,17,0
31,17,0
52,17,0
55,17,0
80,17,0
92,17,0
18,33,0
23,33,0
20,54,1
72,54,1
89,54,1
21,91,1
65,91,1
94,91,1
21,98,1
86,98,1
22,69,1
60,69,1
23,5,0
34,5,0
36,5,0
46,5,0
25,26,0
29,26,0
26,25,0
36,25,0
26,29,0
35,29,0
27,35,0
29,35,0
49,35,0
62,35,0
27,49,0
35,49,0
28,38,0
34,45,0
42,45,0
37,39,0
83,39,0
37,71,1
90,71,1
39,37,0
51,37,0
71,37,0
40,43,0
47,43,0
60,43,0
43,47,0
43,60,1
69,60,1
44,30,0
48,41,0
52,41,0
57,41,0
51,7,0
77,7,0
78,7,0
81,7,0
92,7,0
51,16,0
51,59,1
52,89,1
54,89,1
53,84,1
53,85,1
76,85,1
97,85,1
53,88,1
61,88,1
63,88,1
80,88,1
82,88,1
53,93,1
54,20,0
62,20,0
54,72,1
58,72,1
67,72,1
55,14,0
62,14,0
55,21,0
77,21,0
91,21,0
92,21,0
94,21,0
98,21,0
55,90,1
71,90,1
87,90,1
56,61,1
77,61,1
88,61,1
56,73,1
95,73,1
56,99,1
57,12,0
92,12,0
94,12,0
57,96,1
70,96,1
61,56,1
73,56,1
99,56,1
62,50,1
81,50,1
92,50,1
63,79,1
64,70,1
75,70,1
96,70,1
66,0,0
94,0,0
66,76,1
85,76,1
95,76,1
68,74,1
97,74,1
70,64,1
70,75,1
72,58,1
72,67,1
77,67,1
73,95,1
76,95,1
74,68,1
74,97,1
85,97,1
77,6,0
79,63,1
88,63,1
80,1,0
83,1,0
80,13,0
83,19,0
83,53,1
84,53,1
85,53,1
88,53,1
93,53,1
88,82,1
90,87,1
91,65,1
98,86,1
