vertex_1,vertex_2,is_treated
0,36,0
6,36,0
26,36,0
44,36,0
0,47,0
12,47,0
13,47,0
1,83,1
4,83,1
23,83,1
66,83,1
84,83,1
1,90,1
86,90,1
2,95,1
14,95,1
18,95,1
57,95,1
3,57,1
8,57,1
95,57,1
4,17,0
42,17,0
46,17,0
4,45,0
10,45,0
31,45,0
39,45,0
4,86,1
11,86,1
90,86,1
5,38,0
5,46,0
17,46,0
30,46,0
5,61,1
64,61,1
6,26,0
32,26,0
36,26,0
6,29,0
7,63,1
75,63,1
94,63,1
8,27,0
25,27,0
28,27,0
92,27,0
8,52,1
13,52,1
78,52,1
9,28,0
27,28,0
35,28,0
9,32,0
10,32,0
26,32,0
10,43,0
23,43,0
11,84,1
18,84,1
83,84,1
11,92,1
14,92,1
24,92,1
27,92,1
53,92,1
89,92,1
12,48,0
99,48,0
13,20,0
34,20,0
15,99,1
23,99,1
48,99,1
76,99,1
16,25,0
22,25,0
27,25,0
16,34,0
20,34,0
30,34,0
33,34,0
16,37,0
35,37,0
17,4,0
45,4,0
83,4,0
86,4,0
17,42,0
82,42,0
19,40,0
21,40,0
19,94,1
63,94,1
20,13,0
47,13,0
52,13,0
21,69,1
24,69,1
65,69,1
67,69,1
22,41,0
23,31,0
45,31,0
49,31,0
23,60,1
68,60,1
24,44,0
30,44,0
36,44,0
24,49,0
31,49,0
24,71,1
73,71,1
25,16,0
34,16,0
37,16,0
25,22,0
41,22,0
26,6,0
29,6,0
36,6,0
27,8,0
52,8,0
57,8,0
28,9,0
32,9,0
28,35,0
37,35,0
31,23,0
43,23,0
60,23,0
83,23,0
99,23,0
32,10,0
43,10,0
45,10,0
34,30,0
44,30,0
46,30,0
34,33,0
36,0,0
47,0,0
38,5,0
46,5,0
61,5,0
39,81,1
74,81,1
40,19,0
94,19,0
40,21,0
69,21,0
42,82,1
66,82,1
91,82,1
44,24,0
49,24,0
69,24,0
71,24,0
92,24,0
45,39,0
81,39,0
47,12,0
48,12,0
50,68,1
60,68,1
78,68,1
88,68,1
97,68,1
51,75,1
63,75,1
51,80,1
88,80,1
89,80,1
51,88,1
68,88,1
80,88,1
98,88,1
52,78,1
55,78,1
58,78,1
68,78,1
53,62,1
53,85,1
54,87,1
70,87,1
79,87,1
96,87,1
55,67,1
65,67,1
69,67,1
55,74,1
81,74,1
55,77,1
59,77,1
72,77,1
55,93,1
56,72,1
77,72,1
56,79,1
58,79,1
87,79,1
57,3,0
61,64,1
73,64,1
62,53,1
85,53,1
92,53,1
63,7,0
64,73,1
71,73,1
67,55,1
74,55,1
77,55,1
78,55,1
93,55,1
67,65,1
69,65,1
68,50,1
68,97,1
72,56,1
79,56,1
75,51,1
80,51,1
88,51,1
77,59,1
78,58,1
79,58,1
80,89,1
92,89,1
82,66,1
83,66,1
82,91,1
83,1,0
90,1,0
84,11,0
86,11,0
92,11,0
84,18,0
95,18,0
87,54,1
87,70,1
87,96,1
88,98,1
92,14,0
95,14,0
95,2,0
99,15,0
99,76,1
