vertex_1,vertex_2,is_treated
0,12,0
2,12,0
14,12,0
22,12,0
43,12,0
46,12,0
0,58,1
2,58,1
35,58,1
55,58,1
93,58,1
1,56,1
26,56,1
41,56,1
70,56,1
2,9,0
42,9,0
2,33,0
20,33,0
2,49,0
21,49,0
3,80,1
51,80,1
4,11,0
43,11,0
4,30,0
20,30,0
40,30,0
5,53,1
48,53,1
98,53,1
5,68,1
27,68,1
88,68,1
5,79,1
8,79,1
13,79,1
36,79,1
87,79,1
5,89,1
8,89,1
78,89,1
6,52,1
13,52,1
19,52,1
32,52,1
36,52,1
76,52,1
6,85,1
82,85,1
7,14,0
12,14,0
47,14,0
7,46,0
12,46,0
23,46,0
26,46,0
8,26,0
10,26,0
46,26,0
56,26,0
8,47,0
14,47,0
39,47,0
44,47,0
9,2,0
12,2,0
33,2,0
49,2,0
58,2,0
9,42,0
10,20,0
16,20,0
30,20,0
33,20,0
43,20,0
45,20,0
11,4,0
30,4,0
11,43,0
12,43,0
20,43,0
40,43,0
12,0,0
58,0,0
12,22,0
17,22,0
13,55,1
31,55,1
58,55,1
14,7,0
46,7,0
15,17,0
22,17,0
15,34,0
44,34,0
16,48,0
53,48,0
92,48,0
16,60,1
87,60,1
17,15,0
34,15,0
18,50,1
66,50,1
92,50,1
20,10,0
26,10,0
20,16,0
48,16,0
60,16,0
20,45,0
21,23,0
46,23,0
21,24,0
29,24,0
21,31,0
29,31,0
55,31,0
21,41,0
56,41,0
57,41,0
23,21,0
24,21,0
31,21,0
41,21,0
49,21,0
24,29,0
31,29,0
25,70,1
56,70,1
26,8,0
47,8,0
79,8,0
89,8,0
27,83,1
87,83,1
27,99,1
91,99,1
28,92,1
48,92,1
50,92,1
30,40,0
43,40,0
65,40,0
32,73,1
62,73,1
34,44,0
47,44,0
37,54,1
98,54,1
38,39,0
47,39,0
65,39,0
39,38,0
39,65,1
40,65,1
63,65,1
71,65,1
41,57,1
71,57,1
50,18,0
50,66,1
51,86,1
67,86,1
52,6,0
85,6,0
52,13,0
55,13,0
79,13,0
52,19,0
52,32,0
73,32,0
52,36,0
79,36,0
52,76,1
53,5,0
68,5,0
79,5,0
89,5,0
53,98,1
54,98,1
69,98,1
71,98,1
74,98,1
54,37,0
56,1,0
57,71,1
65,71,1
98,71,1
58,35,0
58,93,1
74,93,1
84,93,1
59,90,1
67,90,1
81,90,1
60,87,1
79,87,1
83,87,1
61,88,1
68,88,1
95,88,1
62,81,1
64,81,1
90,81,1
63,72,1
94,72,1
64,91,1
99,91,1
65,63,1
72,63,1
67,75,1
68,27,0
83,27,0
99,27,0
69,84,1
93,84,1
69,94,1
72,94,1
70,25,0
73,62,1
81,62,1
74,78,1
77,78,1
89,78,1
75,67,1
86,67,1
90,67,1
78,74,1
93,74,1
98,74,1
78,77,1
80,3,0
80,51,1
86,51,1
81,64,1
91,64,1
82,96,1
84,69,1
94,69,1
98,69,1
85,82,1
96,82,1
88,61,1
88,95,1
97,95,1
90,59,1
92,28,0
95,97,1
