vertex_1,vertex_2,is_treated
0,69,1
40,69,1
60,69,1
92,69,1
0,88,1
11,88,1
51,88,1
96,88,1
1,4,0
19,4,0
33,4,0
43,4,0
1,10,0
8,10,0
32,10,0
47,10,0
2,60,1
7,60,1
15,60,1
29,60,1
59,60,1
65,60,1
69,60,1
2,72,1
40,72,1
57,72,1
2,98,1
15,98,1
16,98,1
80,98,1
3,18,0
9,18,0
28,18,0
3,21,0
8,21,0
29,21,0
3,36,0
39,36,0
3,46,0
12,46,0
42,46,0
45,46,0
4,1,0
10,1,0
4,19,0
32,19,0
4,33,0
4,43,0
28,43,0
54,43,0
5,31,0
11,31,0
20,31,0
42,31,0
5,32,0
10,32,0
12,32,0
19,32,0
6,73,1
15,73,1
23,73,1
74,73,1
7,66,1
58,66,1
68,66,1
8,12,0
14,12,0
24,12,0
32,12,0
40,12,0
46,12,0
8,41,0
48,41,0
55,41,0
87,41,0
9,37,0
9,40,0
12,40,0
69,40,0
72,40,0
9,44,0
10,8,0
12,8,0
21,8,0
41,8,0
10,47,0
20,47,0
11,27,0
20,27,0
11,61,1
14,61,1
22,61,1
24,61,1
59,61,1
12,14,0
26,14,0
61,14,0
12,24,0
61,24,0
13,35,0
25,35,0
13,38,0
77,38,0
99,38,0
14,26,0
53,26,0
15,68,1
66,68,1
89,68,1
17,89,1
68,89,1
18,3,0
21,3,0
36,3,0
46,3,0
18,9,0
37,9,0
40,9,0
44,9,0
18,28,0
43,28,0
21,29,0
60,29,0
22,81,1
82,81,1
23,99,1
38,99,1
54,99,1
26,53,1
30,53,1
77,53,1
27,11,0
31,11,0
61,11,0
88,11,0
27,20,0
31,20,0
47,20,0
30,34,0
49,34,0
31,5,0
32,5,0
31,42,0
46,42,0
49,42,0
34,30,0
53,30,0
34,49,0
42,49,0
35,13,0
38,13,0
35,25,0
36,39,0
87,39,0
38,77,1
53,77,1
39,87,1
41,87,1
55,87,1
41,48,0
41,55,1
63,55,1
79,55,1
87,55,1
97,55,1
43,54,1
58,54,1
99,54,1
46,45,0
50,83,1
56,83,1
95,83,1
50,94,1
76,94,1
85,94,1
51,78,1
64,78,1
52,67,1
52,97,1
55,97,1
54,58,1
66,58,1
74,58,1
55,63,1
59,63,1
75,63,1
55,79,1
56,74,1
58,74,1
73,74,1
80,74,1
90,74,1
56,95,1
80,95,1
83,95,1
57,84,1
60,2,0
72,2,0
98,2,0
60,7,0
66,7,0
60,15,0
68,15,0
73,15,0
98,15,0
60,59,1
61,59,1
63,59,1
60,65,1
61,22,0
81,22,0
62,75,1
63,75,1
64,70,1
64,80,1
74,80,1
95,80,1
98,80,1
67,52,1
97,52,1
69,0,0
88,0,0
69,92,1
71,92,1
91,92,1
70,64,1
78,64,1
80,64,1
72,57,1
84,57,1
73,6,0
73,23,0
99,23,0
74,56,1
83,56,1
95,56,1
74,90,1
75,62,1
76,86,1
78,51,1
88,51,1
81,82,1
83,50,1
94,50,1
86,76,1
94,76,1
88,96,1
93,96,1
89,17,0
92,71,1
92,91,1
94,85,1
96,93,1
98,16,0
