vertex_1,vertex_2,is_treated
0,61,1
36,61,1
84,61,1
1,11,0
10,11,0
31,11,0
33,11,0
37,11,0
1,37,0
11,37,0
13,37,0
34,37,0
2,8,0
44,8,0
59,8,0
69,8,0
2,15,0
30,15,0
55,15,0
2,41,0
22,41,0
38,41,0
3,58,1
9,58,1
35,58,1
74,58,1
4,10,0
6,10,0
11,10,0
4,31,0
11,31,0
4,42,0
6,42,0
44,42,0
4,45,0
22,45,0
4,48,0
5,70,1
12,70,1
18,70,1
20,70,1
57,70,1
6,33,0
11,33,0
40,33,0
7,91,1
36,91,1
53,91,1
86,91,1
8,2,0
15,2,0
41,2,0
8,44,0
21,44,0
28,44,0
42,44,0
49,44,0
8,59,1
23,59,1
63,59,1
8,69,1
20,69,1
25,69,1
92,69,1
93,69,1
9,30,0
15,30,0
9,34,0
28,34,0
37,34,0
46,34,0
10,4,0
31,4,0
42,4,0
45,4,0
48,4,0
10,6,0
33,6,0
42,6,0
11,1,0
37,1,0
12,81,1
14,81,1
23,81,1
36,81,1
57,81,1
13,49,0
25,49,0
44,49,0
13,55,1
15,55,1
16,55,1
85,55,1
13,62,1
20,62,1
22,62,1
23,62,1
27,62,1
36,62,1
38,62,1
99,62,1
13,96,1
18,96,1
26,96,1
68,96,1
17,29,0
43,29,0
17,38,0
25,38,0
41,38,0
62,38,0
19,21,0
44,21,0
19,28,0
34,28,0
44,28,0
47,28,0
21,19,0
28,19,0
22,93,1
24,93,1
69,93,1
24,67,1
73,67,1
78,67,1
24,87,1
79,87,1
25,47,0
28,47,0
27,54,1
60,54,1
88,54,1
29,17,0
38,17,0
29,43,0
39,43,0
30,9,0
34,9,0
58,9,0
32,82,1
86,82,1
33,40,0
34,46,0
37,13,0
49,13,0
55,13,0
62,13,0
96,13,0
38,25,0
47,25,0
49,25,0
69,25,0
41,22,0
45,22,0
62,22,0
93,22,0
43,39,0
50,86,1
74,86,1
75,86,1
82,86,1
88,86,1
90,86,1
91,86,1
94,86,1
51,73,1
67,73,1
89,73,1
52,60,1
54,60,1
54,27,0
62,27,0
54,88,1
74,88,1
86,88,1
55,16,0
55,85,1
56,85,1
57,66,1
65,66,1
72,66,1
75,66,1
57,71,1
89,71,1
58,3,0
58,35,0
58,74,1
86,74,1
88,74,1
95,74,1
98,74,1
59,23,0
62,23,0
81,23,0
59,63,1
60,52,1
61,0,0
61,36,0
62,36,0
81,36,0
91,36,0
61,84,1
62,20,0
69,20,0
70,20,0
62,99,1
64,77,1
68,77,1
66,57,1
70,57,1
71,57,1
81,57,1
66,65,1
66,72,1
66,75,1
83,75,1
86,75,1
97,75,1
67,24,0
87,24,0
93,24,0
67,78,1
68,79,1
87,79,1
69,92,1
76,92,1
80,92,1
70,5,0
70,12,0
81,12,0
70,18,0
96,18,0
71,89,1
73,89,1
73,51,1
74,95,1
74,98,1
75,83,1
75,97,1
77,64,1
77,68,1
79,68,1
96,68,1
81,14,0
82,32,0
85,56,1
86,50,1
86,90,1
86,94,1
91,7,0
91,53,1
92,76,1
92,80,1
96,26,0
