vertex_1,vertex_2,is_treated
0,47,0
45,47,0
49,47,0
0,66,1
69,66,1
1,49,0
22,49,0
27,49,0
47,49,0
2,34,0
22,34,0
35,34,0
2,42,0
33,42,0
45,42,0
3,59,1
7,59,1
95,59,1
3,97,1
43,97,1
77,97,1
4,15,0
26,15,0
4,35,0
34,35,0
46,35,0
5,9,0
37,9,0
5,12,0
38,12,0
51,12,0
74,12,0
5,99,1
95,99,1
6,26,0
15,26,0
51,26,0
57,26,0
6,29,0
28,29,0
7,70,1
19,70,1
40,70,1
86,70,1
7,77,1
21,77,1
97,77,1
8,25,0
24,25,0
28,25,0
8,38,0
12,38,0
24,38,0
36,38,0
41,38,0
9,5,0
12,5,0
99,5,0
9,37,0
31,37,0
10,78,1
72,78,1
11,63,1
48,63,1
85,63,1
11,86,1
21,86,1
44,86,1
70,86,1
87,86,1
12,51,1
26,51,1
30,51,1
12,74,1
48,74,1
69,74,1
84,74,1
13,71,1
69,71,1
14,89,1
64,89,1
15,4,0
35,4,0
16,94,1
41,94,1
52,94,1
17,28,0
25,28,0
27,28,0
29,28,0
17,33,0
42,33,0
54,33,0
67,33,0
18,30,0
44,30,0
51,30,0
18,36,0
22,36,0
38,36,0
18,44,0
30,44,0
86,44,0
18,58,1
22,58,1
41,58,1
20,84,1
39,84,1
74,84,1
22,92,1
81,92,1
23,67,1
33,67,1
39,67,1
43,67,1
90,67,1
25,8,0
38,8,0
25,24,0
38,24,0
26,6,0
29,6,0
26,57,1
27,65,1
73,65,1
28,17,0
33,17,0
28,27,0
49,27,0
65,27,0
30,18,0
36,18,0
44,18,0
58,18,0
31,32,0
41,32,0
46,32,0
32,31,0
37,31,0
32,41,0
38,41,0
53,41,0
58,41,0
94,41,0
32,46,0
35,46,0
33,54,1
34,2,0
42,2,0
34,22,0
36,22,0
49,22,0
58,22,0
92,22,0
39,90,1
67,90,1
41,53,1
42,45,0
47,45,0
47,0,0
66,0,0
49,1,0
50,56,1
98,56,1
50,72,1
76,72,1
78,72,1
52,68,1
55,68,1
52,81,1
64,81,1
79,81,1
87,81,1
92,81,1
55,83,1
88,83,1
91,83,1
56,50,1
72,50,1
56,98,1
59,3,0
97,3,0
59,7,0
70,7,0
77,7,0
59,95,1
60,95,1
76,95,1
99,95,1
60,69,1
66,69,1
71,69,1
74,69,1
88,69,1
60,80,1
61,91,1
83,91,1
96,91,1
62,64,1
81,64,1
82,64,1
89,64,1
62,73,1
65,73,1
93,73,1
63,11,0
86,11,0
63,48,0
74,48,0
63,85,1
64,62,1
73,62,1
64,82,1
67,23,0
67,39,0
84,39,0
90,39,0
67,43,0
97,43,0
68,52,1
81,52,1
94,52,1
68,55,1
83,55,1
69,60,1
80,60,1
95,60,1
69,88,1
83,88,1
70,19,0
70,40,0
71,13,0
72,76,1
95,76,1
73,93,1
79,93,1
75,87,1
81,87,1
86,87,1
77,21,0
86,21,0
78,10,0
81,79,1
93,79,1
84,20,0
87,75,1
89,14,0
91,61,1
91,96,1
94,16,0
