vertex_1,vertex_2,is_treated
0,51,1
14,51,1
27,51,1
66,51,1
70,51,1
0,84,1
9,84,1
28,84,1
53,84,1
66,84,1
0,88,1
26,88,1
31,88,1
63,88,1
1,8,0
73,8,0
1,18,0
3,18,0
34,18,0
48,18,0
1,36,0
48,36,0
58,36,0
1,56,1
24,56,1
28,56,1
99,56,1
2,12,0
22,12,0
45,12,0
2,13,0
2,33,0
16,33,0
40,33,0
44,33,0
3,7,0
21,7,0
3,11,0
16,11,0
4,9,0
21,9,0
83,9,0
84,9,0
4,15,0
30,15,0
35,15,0
4,20,0
32,20,0
5,63,1
24,63,1
88,63,1
5,70,1
25,70,1
38,70,1
51,70,1
6,79,1
77,79,1
6,81,1
23,81,1
99,81,1
7,3,0
11,3,0
18,3,0
7,21,0
9,21,0
46,21,0
47,21,0
8,1,0
18,1,0
36,1,0
56,1,0
8,73,1
29,73,1
50,73,1
9,4,0
15,4,0
20,4,0
9,83,1
24,83,1
53,83,1
10,98,1
23,98,1
53,98,1
11,16,0
33,16,0
44,16,0
12,2,0
13,2,0
33,2,0
12,22,0
34,22,0
48,22,0
12,45,0
15,30,0
15,35,0
31,35,0
40,35,0
41,35,0
16,44,0
33,44,0
17,32,0
20,32,0
42,32,0
69,32,0
17,41,0
35,41,0
17,48,0
18,48,0
22,48,0
36,48,0
18,34,0
22,34,0
49,34,0
19,54,1
61,54,1
67,54,1
21,46,0
21,47,0
37,47,0
23,69,1
26,69,1
32,69,1
55,69,1
24,87,1
25,87,1
52,87,1
27,71,1
43,71,1
60,71,1
65,71,1
28,78,1
64,78,1
31,37,0
47,37,0
49,37,0
32,17,0
41,17,0
48,17,0
32,42,0
33,40,0
35,40,0
43,40,0
34,49,0
37,49,0
35,31,0
37,31,0
88,31,0
36,58,1
39,58,1
62,58,1
38,39,0
58,39,0
90,39,0
39,38,0
70,38,0
39,90,1
68,90,1
40,43,0
59,43,0
71,43,0
74,43,0
43,59,1
66,59,1
43,74,1
92,74,1
50,67,1
54,67,1
51,0,0
84,0,0
88,0,0
51,14,0
51,27,0
71,27,0
51,66,1
59,66,1
84,66,1
89,66,1
92,66,1
54,19,0
54,61,1
80,61,1
89,61,1
55,85,1
55,94,1
62,94,1
65,94,1
56,24,0
63,24,0
83,24,0
87,24,0
56,28,0
78,28,0
84,28,0
56,99,1
81,99,1
82,99,1
57,82,1
75,82,1
77,82,1
99,82,1
57,91,1
76,91,1
58,62,1
86,62,1
94,62,1
61,80,1
96,80,1
61,89,1
66,89,1
76,89,1
62,86,1
63,5,0
70,5,0
64,97,1
65,95,1
66,92,1
74,92,1
67,50,1
73,50,1
68,93,1
69,23,0
81,23,0
98,23,0
69,26,0
88,26,0
69,55,1
85,55,1
94,55,1
70,25,0
87,25,0
71,60,1
71,65,1
94,65,1
95,65,1
72,76,1
89,76,1
91,76,1
73,29,0
76,72,1
78,64,1
97,64,1
79,6,0
81,6,0
79,77,1
82,77,1
80,96,1
82,57,1
91,57,1
82,75,1
83,53,1
84,53,1
98,53,1
87,52,1
90,68,1
93,68,1
98,10,0
