vertex_1,vertex_2,is_treated
0,88,1
13,88,1
16,88,1
79,88,1
1,59,1
3,59,1
28,59,1
75,59,1
1,68,1
9,68,1
32,68,1
86,68,1
2,5,0
30,5,0
32,5,0
35,5,0
4,26,0
58,26,0
4,29,0
36,29,0
40,29,0
4,54,1
21,54,1
56,54,1
4,76,1
7,76,1
57,76,1
4,78,1
12,78,1
71,78,1
87,78,1
94,78,1
4,85,1
6,85,1
24,85,1
58,85,1
5,2,0
5,30,0
10,30,0
33,30,0
41,30,0
5,32,0
31,32,0
36,32,0
68,32,0
5,35,0
14,35,0
44,35,0
7,60,1
21,60,1
25,60,1
86,60,1
8,10,0
28,10,0
30,10,0
37,10,0
46,10,0
48,10,0
8,49,0
18,49,0
27,49,0
48,49,0
10,8,0
49,8,0
10,28,0
12,28,0
18,28,0
31,28,0
57,28,0
59,28,0
64,28,0
10,37,0
83,37,0
10,46,0
38,46,0
45,46,0
10,48,0
49,48,0
11,72,1
61,72,1
11,97,1
56,97,1
12,70,1
52,70,1
12,87,1
77,87,1
78,87,1
13,57,1
23,57,1
28,57,1
76,57,1
13,58,1
19,58,1
26,58,1
53,58,1
85,58,1
14,15,0
22,15,0
15,14,0
35,14,0
15,22,0
41,22,0
73,22,0
17,19,0
43,19,0
58,19,0
17,27,0
42,27,0
49,27,0
18,34,0
31,34,0
19,17,0
27,17,0
19,43,0
45,43,0
20,91,1
75,91,1
21,64,1
28,64,1
62,64,1
22,41,0
30,41,0
31,41,0
22,73,1
44,73,1
55,73,1
23,36,0
29,36,0
32,36,0
47,36,0
23,47,0
36,47,0
26,4,0
29,4,0
54,4,0
76,4,0
78,4,0
85,4,0
27,42,0
39,42,0
28,12,0
70,12,0
78,12,0
87,12,0
28,18,0
34,18,0
49,18,0
28,31,0
32,31,0
34,31,0
41,31,0
29,40,0
30,33,0
44,33,0
33,44,0
35,44,0
73,44,0
36,23,0
47,23,0
57,23,0
37,83,1
89,83,1
42,39,0
43,45,0
46,45,0
80,45,0
45,80,1
69,80,1
86,80,1
46,38,0
50,79,1
69,79,1
86,79,1
88,79,1
51,67,1
69,67,1
77,67,1
92,67,1
51,69,1
67,69,1
79,69,1
80,69,1
96,69,1
52,82,1
53,95,1
54,21,0
60,21,0
64,21,0
54,56,1
84,56,1
93,56,1
97,56,1
55,92,1
67,92,1
99,92,1
56,84,1
63,84,1
56,93,1
75,93,1
57,13,0
58,13,0
88,13,0
58,53,1
95,53,1
59,1,0
68,1,0
59,3,0
59,75,1
91,75,1
93,75,1
60,7,0
76,7,0
60,25,0
60,86,1
68,86,1
79,86,1
80,86,1
64,62,1
65,81,1
94,81,1
65,96,1
69,96,1
90,96,1
66,94,1
78,94,1
81,94,1
67,51,1
69,51,1
67,77,1
74,77,1
87,77,1
68,9,0
70,52,1
82,52,1
72,11,0
97,11,0
72,61,1
73,55,1
92,55,1
77,74,1
78,71,1
79,50,1
81,65,1
96,65,1
83,89,1
84,63,1
85,6,0
85,24,0
88,0,0
88,16,0
90,98,1
91,20,0
92,99,1
94,66,1
96,90,1
98,90,1
