vertex_1,vertex_2,is_treated
0,8,0
14,8,0
47,8,0
0,49,0
9,49,0
31,49,0
48,49,0
0,99,1
11,99,1
76,99,1
88,99,1
1,3,0
39,3,0
84,3,0
1,24,0
47,24,0
1,41,0
2,41,0
40,41,0
1,44,0
45,44,0
73,44,0
79,44,0
2,10,0
38,10,0
2,28,0
6,28,0
26,28,0
3,1,0
24,1,0
41,1,0
44,1,0
3,39,0
72,39,0
3,84,1
4,84,1
20,84,1
40,84,1
62,84,1
5,27,0
35,27,0
5,30,0
7,30,0
5,46,0
38,46,0
6,32,0
22,32,0
7,34,0
25,34,0
90,34,0
8,0,0
49,0,0
99,0,0
8,14,0
42,14,0
48,14,0
54,14,0
8,47,0
24,47,0
31,47,0
43,47,0
9,35,0
17,35,0
27,35,0
9,36,0
70,36,0
10,2,0
28,2,0
41,2,0
10,38,0
46,38,0
12,68,1
71,68,1
12,69,1
18,69,1
51,69,1
13,52,1
21,52,1
77,52,1
13,73,1
15,73,1
42,73,1
44,73,1
95,73,1
14,42,0
53,42,0
70,42,0
73,42,0
96,42,0
14,48,0
20,48,0
49,48,0
14,54,1
93,54,1
16,19,0
22,19,0
16,33,0
16,37,0
17,22,0
19,22,0
32,22,0
78,22,0
17,23,0
18,59,1
21,59,1
67,59,1
18,91,1
21,91,1
87,91,1
18,96,1
40,96,1
42,96,1
78,96,1
19,16,0
33,16,0
37,16,0
20,25,0
34,25,0
78,25,0
20,66,1
21,66,1
74,66,1
94,66,1
21,55,1
74,55,1
83,55,1
22,17,0
23,17,0
35,17,0
22,78,1
25,78,1
96,78,1
25,20,0
48,20,0
66,20,0
84,20,0
27,5,0
30,5,0
46,5,0
28,6,0
32,6,0
28,26,0
29,31,0
47,31,0
49,31,0
30,7,0
34,7,0
31,29,0
34,90,1
83,90,1
35,9,0
36,9,0
49,9,0
36,70,1
42,70,1
60,70,1
39,72,1
58,72,1
41,40,0
84,40,0
96,40,0
42,53,1
77,53,1
44,45,0
44,79,1
97,79,1
47,43,0
50,62,1
84,62,1
88,62,1
94,62,1
50,87,1
77,87,1
91,87,1
51,67,1
59,67,1
86,67,1
52,13,0
73,13,0
52,21,0
55,21,0
59,21,0
66,21,0
91,21,0
52,77,1
53,77,1
80,77,1
87,77,1
54,93,1
65,93,1
55,74,1
64,74,1
66,74,1
55,83,1
58,83,1
85,83,1
90,83,1
98,83,1
56,81,1
80,81,1
56,82,1
57,82,1
80,82,1
58,75,1
58,94,1
62,94,1
63,94,1
66,94,1
89,94,1
59,18,0
69,18,0
91,18,0
96,18,0
61,98,1
83,98,1
62,50,1
87,50,1
62,88,1
80,88,1
99,88,1
67,51,1
69,51,1
67,86,1
80,86,1
68,12,0
69,12,0
68,71,1
70,60,1
72,58,1
75,58,1
83,58,1
94,58,1
73,15,0
73,95,1
92,95,1
74,64,1
76,97,1
79,97,1
77,80,1
81,80,1
82,80,1
86,80,1
88,80,1
81,56,1
82,56,1
82,57,1
83,85,1
84,4,0
93,65,1
94,63,1
94,89,1
95,92,1
97,76,1
99,76,1
98,61,1
99,11,0
